fname	last_mc	last_mn	length_qb	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	TimeSig	KeySig	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	pdf	typesetter	subdirectory	rel_path	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
l136-01_etudes_cinq	116	116	317.0	317.0	682.37	2067	1354	1: 4/4, 6: 2/4, 7: 6/16, 11: 4/4, 17: 6/16, 21: 3/8, 27: 12/16, 97: 2/4	1: 0, 48: -7, 56: 0, 75: -4, 90: 0, 111: -5, 113: 0	0	1915	1915	Claude Debussy	Étude no.1: pour les cinq doigts								2021-08-13		Microsoft Windows	http://musescore.com/user/36526887/scores/6959034		3.6.2	24-95 (C1-B6)	https://imslp.org/wiki/Special:ReverseLookup/246285	https://musescore.com/user/36526887	MS3	MS3/l136-01_etudes_cinq.mscx	Piano	31-95 (G1-B6)	Piano	24-84 (C1-C6)		
l136-02_etudes_tierces	80	76	304.0	304.0	1271.42	3336	1159	1: 4/4	1: -5, 9: 0, 14: -5, 31: 4, 35: -5, 42: 0, 49: -5, 57: 0, 63: -5	0	1915	1915										2022-02-16		Microsoft Windows			3.6.2	26-94 (D1-Bb6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com	MS3	MS3/l136-02_etudes_tierces.mscx	Piano	45-94 (Bbb2-Bb6)	Piano	26-92 (D1-Ab6)		
l136-03_etudes_quartes	85	85	252.0	252.0	969.83	1586	677	1: 6/8, 7: 3/4, 13: 6/8, 19: 3/8, 20: 6/8, 22: 3/8, 23: 6/8, 25: 3/4	1: -1, 29: -6, 46: 3, 49: 0, 65: -1	0												2022-02-28		Microsoft Windows			3.6.2	29-92 (F1-Ab6)			MS3	MS3/l136-03_etudes_quartes.mscx	Piano	36-92 (C2-Ab6)	Piano	29-82 (F1-Bb5)		
l136-04_etudes_sixtes	59	59	179.0	179.0	680.08	1734	614	1: 3/4, 18: 4/4, 19: 3/4, 42: 4/4, 43: 3/4, 56: 2/4, 57: 3/4	1: -5, 21: -1, 27: -6, 30: -3, 32: 1, 33: -6, 38: -1, 46: -5	0				Pour les Sixtes								2022-03-02		Microsoft Windows			3.6.2	25-94 (Db1-Bb6)			MS3	MS3/l136-04_etudes_sixtes.mscx	Piano	48-94 (C3-Bb6)	Piano	25-77 (Db1-F5)		
l136-05_etudes_octaves	121	121	181.5	181.5	595.83	2046	831	1: 3/8	1: 4, 11: 0, 13: 4, 15: 0, 21: 4, 23: -3, 29: 0, 33: -3, 49: -5, 59: 4, 68: -5, 83: 4, 93: -4, 95: 0, 109: 4, 115: 0, 119: 4	0	1915	1915		Pour les Octaves								2022-03-02		Microsoft Windows			3.6.2	24-95 (C1-B6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com	MS3	MS3/l136-05_etudes_octaves.mscx	Piano	29-95 (F1-B6)	Piano	24-79 (C1-G5)		
l136-06_etudes_huit	69	68	146.0	146.0	175.25	1389	1206	1: 3/4, 2: 2/4, 4: 3/4, 5: 2/4, 43: 3/4, 44: 2/4, 46: 3/4, 47: 2/4, 55: 3/4, 61: 2/4	1: -6, 13: -3, 29: 0, 33: -6	0												2022-02-16		Microsoft Windows			3.6.2	30-90 (Gb1-Gb6)			MS3	MS3/l136-06_etudes_huit.mscx	Piano	37-90 (Db2-Gb6)	Piano	30-89 (Gb1-F6)		
l136-07_etudes_degres	88	88	176.0	176.0	567.5	1953	1301	1: 2/4	1: 0	0	1915	1915										2022-02-18		Microsoft Windows			3.6.2	27-94 (Eb1-Bb6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com	MS3	MS3/l136-07_etudes_degres.mscx	Piano	46-94 (Bb2-Bb6)	Piano	27-88 (Eb1-E6)		
l136-08_etudes_agrements	62	52	151.0	151.0	496.27	2135	1144	1: 6/8, 8: 2/4, 10: 6/8, 28: 3/8, 29: 6/8, 42: 5/8, 44: 6/8, 47: 3/8, 48: 6/8, 56: 2/4, 58: 6/8	1: -1, 10: -6, 12: -1, 13: 0, 20: 3, 27: 0, 32: 3, 35: 0, 40: 5, 43: -4, 46: 4, 49: -1	0				Pour les agréments								2022-03-05		Microsoft Windows			3.6.2	28-95 (E1-B6)			MS3	MS3/l136-08_etudes_agrements.mscx	Piano	36-95 (C2-B6)	Piano	28-86 (E1-D6)		
l136-09_etudes_notes	85	84	336.0	336.0	734.62	2026	1262	1: 4/4	1: 1, 28: 0, 50: 1, 59: 4, 63: 0, 67: 1	0	1915	1915										2022-02-20		Microsoft Windows			3.6.2	27-94 (Eb1-Bb6)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com	MS3	MS3/l136-09_etudes_notes.mscx	Piano	29-94 (F1-Bb6)	Piano	27-86 (Eb1-D6)		
l136-10_etudes_sonorites	75	75	277.5	277.5	1555.62	1149	440	1: 9/8, 15: 3/4, 38: 9/8, 59: 3/4	1: 4, 7: 0, 15: 4, 38: 7, 59: 4	0	1915	1915										2022-02-22		Microsoft Windows			3.6.2	25-97 (C#1-C#7)	https://imslp.org/wiki/Special:ReverseLookup/246285	tunescribers.com	MS3	MS3/l136-10_etudes_sonorites.mscx	Piano	44-97 (G#2-C#7)	Piano	25-82 (C#1-A#5)	Piano	29-87 (F1-D#6)
